account_id,name,industry,employee_count,arr,region,owner_id,created_at
1,Fusion Digital,Transportation,81,46271,North America,13,2023-05-28T00:00:00
2,Pacific Software,Government,,124073,LATAM,12,2022-03-11T00:00:00
3,Pacific Platforms,Technology,44590,1583405,APAC,1,2022-05-21T00:00:00
4,Zenith Enterprises,Technology,,40675,EMEA,9,2021-03-03T00:00:00
5,Pinnacle Inc,Transportation,183,16204,LATAM,13,2023-11-08T00:00:00
6,Zenith Platforms,Financial Services,1001,36369,EMEA,6,2023-06-30T00:00:00
7,Elevate Dynamics,Retail,999,169806,APAC,1,2020-09-21T00:00:00
8,Velocity Holdings,Energy,194,-18788,,10,2022-08-06T00:00:00
9,Optima Solutions,Education,145,18568,EMEA,1,2022-08-03T00:00:00
10,Elevate Analytics,Media & Entertainment,1590,22267,North America,12,2020-09-29T00:00:00
11,Pinnacle Corp,Media & Entertainment,1380,21256,APAC,11,2020-03-20T00:00:00
12,Elevate Inc,Financial Services,998,177537,LATAM,4,2024-09-17T00:00:00
13,Atlas Corp,Government,146,32904,North America,8,2022-12-25T00:00:00
14,Velocity Dynamics,,124,36538,LATAM,16,2024-06-26T00:00:00
15,Apex Analytics,Healthcare,639,222583,EMEA,13,2022-08-11T00:00:00
16,Elevate Group,Professional Services,,103841,LATAM,14,2023-09-21T00:00:00
17,Vanguard Inc,Professional Services,87,27313,North America,3,2022-06-19T00:00:00
18,Elevate Group,Energy,87,24388,EMEA,13,2024-02-11T00:00:00
19,Zenith Platforms,Manufacturing,,37636,LATAM,12,2022-10-10T00:00:00
20,Optima Digital,Retail,298,56216,LATAM,5,2023-03-25T00:00:00
21,Elevate Inc,Manufacturing,129,42856,LATAM,1,2023-02-11T00:00:00
22,Fusion Holdings,Transportation,200,42430,APAC,9,2023-08-27T00:00:00
23,Fusion Solutions,Professional Services,1711,55366,LATAM,5,2023-07-04T00:00:00
24,Synergy Software,Transportation,90,4156,LATAM,16,2024-05-23T00:00:00
25,Zenith Partners,Telecommunications,204,168553,LATAM,7,2022-08-28T00:00:00
26,Apex Technologies,Government,459,224483,APAC,13,2022-07-11T00:00:00
27,Optima Solutions,Manufacturing,37,16086,EMEA,1,2020-11-09T00:00:00
28,Zenith Solutions,Healthcare,1072,61779,APAC,16,2024-11-07T00:00:00
29,Zenith Services,Transportation,1348,211025,APAC,2,2021-07-13T00:00:00
30,Catalyst Corp,Retail,104,5320,APAC,9,2022-11-12T00:00:00
31,Synergy Platforms,Education,34,27031,APAC,11,2020-06-23T00:00:00
32,Global Services,Manufacturing,54,40709,EMEA,12,2020-11-28T00:00:00
33,Fusion Systems,Financial Services,55,1437,EMEA,15,2024-07-23T00:00:00
34,Nova Networks,Media & Entertainment,207,98617,LATAM,6,2023-08-28T00:00:00
35,Acme Solutions,Government,182,45540,APAC,11,2021-09-09T00:00:00
36,Fusion Networks,Healthcare,36034,1192850,LATAM,3,2024-11-10T00:00:00
37,Fusion Solutions,Transportation,829,48654,APAC,2,2020-04-25T00:00:00
38,Catalyst Labs,Healthcare,52,38767,LATAM,8,2024-07-28T00:00:00
39,Optima Corp,Media & Entertainment,901,10422,APAC,3,2020-09-05T00:00:00
40,Apex Networks,Education,,202458,North America,3,2024-06-20T00:00:00
41,Nova Technologies,,538,241615,EMEA,12,2021-07-28T00:00:00
42,Elevate Dynamics,Education,178,19691,LATAM,9,2023-01-24T00:00:00
43,Summit Inc,Retail,95,47366,APAC,11,2020-02-18T00:00:00
44,Synergy Holdings,Professional Services,139,32329,EMEA,3,2020-12-13T00:00:00
45,Quantum Inc,,15,37692,LATAM,8,2023-06-30T00:00:00
46,Fusion Partners,Education,1506,131840,APAC,10,2020-08-19T00:00:00
47,Atlas Networks,Professional Services,1308,96359,EMEA,3,2021-03-23T00:00:00
48,Catalyst Software,Energy,189,11955,North America,3,2024-03-20T00:00:00
49,Global Holdings,Professional Services,1138,183182,EMEA,12,2022-06-25T00:00:00
50,Fusion Holdings,Financial Services,471,123100,LATAM,16,2024-09-27T00:00:00
51,Nexus Dynamics,Education,94,20061,North America,6,2024-06-07T00:00:00
52,Vertex Analytics,Energy,553,139011,LATAM,1,2022-05-10T00:00:00
53,Pacific Software,Financial Services,917,214482,EMEA,12,2021-07-08T00:00:00
